model,k,silhouette,dbi,ch_index
KMeans,2,0.45819708704948425,2.295254924708905,418.60159760508196
Agglomerative,2,0.5077093839645386,1.1595295115840687,385.1672984292291
KMeans,3,0.3780162036418915,1.9978915668385568,306.77427186378543
Agglomerative,3,0.41745659708976746,1.6479451469575175,385.4730071499461
KMeans,4,0.3919914662837982,1.663149221836496,360.5048674250417
Agglomerative,4,0.3092511296272278,2.706122616796218,338.8859453913833
KMeans,5,0.3711853623390198,2.440845266381687,334.81729524070806
Agglomerative,5,0.3050130605697632,2.548322780548586,302.8446115206182
KMeans,6,0.3284469544887543,2.1225514585779495,312.7552354183234
Agglomerative,6,0.3142630457878113,2.4994618695629507,280.1376622818192
